Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,191.746113989637,185.161411680401,18.75
0.067,178.129533678756,179.441239699033,15.2083333333333
0.134,177.471502590674,174.811178788965,18.4583333333333
0.207,175.854922279793,172.825689716947,16.4166666666667
0.274,168.725388601036,169.683805087782,27.875
0.345,173.533678756477,167.849158007882,15.625
0.412,170.077720207254,167.262809029022,14.5416666666667
0.48,165.502590673575,165.923145825869,12.8333333333333
0.549,162.849740932642,165.606413471874,23.125
0.616,163.362694300518,164.274274453601,14.25
0.683,163.274611398964,166.191150125403,21.125
0.752,161.720207253886,162.866176997492,17.9583333333333
0.82,168.60103626943,163.479218917951,19.75
0.887,158.787564766839,163.459691866714,21.0833333333333
0.957,164.989637305699,164.880329630957,19.125
1.025,162.424870466321,163.421533500537,19.25
1.092,158.388601036269,162.754030813329,14.9583333333333
1.159,167.502590673575,163.562343246148,14.1666666666667
1.226,164.150259067358,162.812253672519,12.6666666666667
1.293,158.445595854922,163.960229308492,17.4583333333333
1.366,168.875647668394,163.467753493372,20.4166666666667
1.433,165.611398963731,163.072017198137,19.8333333333333
1.502,166.253886010363,162.460766750269,20.2916666666667
1.569,161.80829015544,161.544070225726,16.6666666666667
1.636,162.652849740933,163.645467574346,14.3333333333333
1.705,161.373056994819,161.718738803296,17.75
1.772,164.088082901554,162.932103188821,18.0416666666667
1.839,165.165803108808,162.029559297743,17.9583333333333
1.909,169.440414507772,163.114833393049,16.2083333333333
1.976,172.108808290155,162.223038337513,13.875
2.043,159.60621761658,161.158007882479,13.7916666666667
2.114,169.321243523316,161.471336438552,22.5
2.181,158.79792746114,161.004478681476,22.125
2.248,170.974093264249,162.406485130777,12.375
2.315,165.720207253886,161.72554639914,21.625
2.382,167.041450777202,162.092439985668,16.5
2.45,156.062176165803,162.994267287711,19.0416666666667
2.521,165.352331606218,163.105876030097,13.875
2.588,159.259067357513,162.243819419563,19.5416666666667
2.658,155.512953367876,162.924399856682,17.25
2.725,163.751295336788,162.522393407381,16.5
2.792,159.637305699482,162.392153350054,22.75
2.861,156.896373056995,161.271228950197,16.7083333333333
2.928,161.694300518135,160.957183805088,23.7083333333333
2.995,161.445595854922,162.675564313866,13.25
3.064,163.715025906736,161.992296667861,22
3.131,160.746113989637,162.24811895378,21.1666666666667
3.198,166.735751295337,161.07147975636,15.375
3.267,168.968911917098,161.400573271229,16.8333333333333
3.335,161.367875647668,160.415979935507,17.9166666666667
3.423,,,
3.49,,,
3.568,44.3419689119171,137.139555714798,16.6666666666667
3.635,58.4093264248705,141.774811895378,16
3.702,67.5336787564767,142.073092081691,22.9583333333333
3.77,70.1243523316062,140.375492654962,28.75
3.837,76.3212435233161,140.24435686134,13.5416666666667
3.904,80.6683937823834,141.895019706198,16.75
3.971,89.2694300518135,142.905768541741,21.7083333333333
4.038,90.8860103626943,142.048548907202,18.0833333333333
4.105,92.6528497409326,141.115908276603,9.79166666666667
4.172,92.9896373056995,141.98495163024,17.9583333333333
4.24,100.321243523316,141.609279828019,17.375
4.307,96.6217616580311,141.750806162666,17.4583333333333
4.374,97.2487046632124,142.758688642064,20.875
4.441,102.243523316062,141.604263704765,22.125
4.508,102.834196891192,141.247760659262,19.7083333333333
4.575,110.336787564767,142.187567180222,17.5
4.642,103.849740932642,142.56019347904,24.1666666666667
4.71,105.725388601036,143.036725188105,16.7083333333333
4.777,109.813471502591,142.800609100681,20.5833333333333
4.844,111.284974093264,142.225904693658,14.7083333333333
4.911,113.518134715026,141.110354711573,16.7916666666667
4.978,117.176165803109,142.419025438911,23.2083333333333
5.045,116.497409326425,142.497133643855,10.125
5.112,111.538860103627,141.345216768183,15.75
5.18,121.632124352332,142.190075241849,15.875
5.247,117.383419689119,142.556073092082,11.9166666666667
5.314,121.383419689119,142.001074883554,19.5416666666667
5.381,118.295336787565,141.001433178072,12.875
5.448,126.481865284974,141.618774632748,18.0833333333333
5.515,126.989637305699,141.766033679685,13.3333333333333
5.582,118.818652849741,142.706915084199,22.6666666666667
5.65,119.538860103627,142.289860265138,16.4166666666667
5.717,118.569948186528,141.217126477965,16.1666666666667
5.784,118.502590673575,141.13901827302,18.9583333333333
5.851,124.735751295337,140.8871372268,16.0416666666667
5.918,125.305699481865,141.166248656396,18.3333333333333
5.99,129.046632124352,140.75564313866,16.75
6.057,129.564766839378,140.887853815837,17.625
6.125,121.80829015544,140.504299534217,12.7083333333333
6.192,135.481865284974,141.565567896811,16.75
6.259,123.756476683938,140.002149767109,21.25
6.33,129.896373056995,141.079541383017,15.4166666666667
6.397,126.99481865285,140.485668219276,18.9583333333333
6.465,121.746113989637,140.535471157291,21.4166666666667
6.533,125.424870466321,140.095127194554,15.625
