Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,177.417721518987,175.209915809167,14.6625
0.068,177.588607594937,170.617773620206,9.6625
0.135,173.006329113924,166.729092609916,12.8
0.203,164.911392405063,163.055940130964,8.8125
0.27,161.632911392405,159.095790458372,12.4625
0.34,162.607594936709,157.974742750234,11.175
0.408,158.848101265823,156.240411599626,11.45
0.475,162.860759493671,156.291487371375,10.7375
0.547,154.651898734177,154.848643592142,12.45
0.614,158.075949367089,155.09055191768,11.15
0.681,153.405063291139,154.24153414406,10.55
0.748,157.810126582278,153.065294667914,10.35
0.815,155.373417721519,152.953788587465,13.8125
0.883,160.905063291139,154.154911131899,10.5375
0.95,149.474683544304,151.395322731525,11.8625
1.017,144.170886075949,150.437605238541,12.7125
1.084,153.879746835443,151.028811973807,13.1375
1.155,149.253164556962,151.390458372311,10.875
1.223,155.227848101266,151.13769878391,11.9875
1.293,155.253164556962,151.304209541628,11.125
1.36,152.069620253165,151.553040224509,10.3625
1.427,153.873417721519,151.764639850327,8.975
1.495,157.025316455696,151.24527595884,11.95
1.563,156.924050632911,153.156033676333,10.0625
1.63,155.949367088608,151.32647333957,9.625
1.698,161.525316455696,152.776987839102,11.675
1.765,157.417721518987,151.86230121609,9.8875
1.833,152.778481012658,151.742937324602,10.625
1.902,154.753164556962,151.896913002806,11
1.969,153.291139240506,152.405799812909,12.9375
2.036,156.253164556962,151.243966323667,11.1875
2.107,151.5,151.058746492049,13.4125
2.174,162.645569620253,151.758652946679,12.0375
2.241,156.03164556962,151.078016838167,11.175
2.308,152.335443037975,152.030682881197,10.8125
2.375,157.253164556962,152.042656688494,10.5125
2.443,151.164556962025,152.148737137512,10.7
2.515,154.03164556962,152.172684752105,13.3625
2.583,149.632911392405,151.182600561272,12.8875
2.652,156.240506329114,151.788026192703,13.475
2.719,149.481012658228,150.517305893358,10.375
2.786,150.860759493671,150.472778297474,10.1875
2.855,151.727848101266,150.940879326473,10.375
2.922,148.03164556962,151.531337698784,9.7
2.989,151.227848101266,151.739943872778,9.8625
3.059,155.145569620253,151.176613657624,10.65
3.126,152.170886075949,151.431431244153,8.85
3.193,158.006329113924,151.700280636109,11.9875
3.264,144.113924050633,151.40374181478,10.1
3.331,159.683544303797,150.754536950421,8.45
3.42,,,
3.487,,,
3.565,34.5696202531646,132.062862488307,11.8
3.632,53.3924050632911,132.18671655753,10.8125
3.699,59.1012658227848,134.111131898971,11.225
3.766,65.6139240506329,132.738447146866,11.4875
3.833,73.3037974683544,134.233676333022,12.325
3.9,79.373417721519,134.261927034612,10.0125
3.968,78.8924050632911,132.39438727783,11.925
4.035,85.3354430379747,133.632740879326,9.5375
4.102,88.2151898734177,133.806548175865,9.775
4.169,88.5126582278481,134.154911131899,11.3125
4.236,90.0126582278481,133.852198316183,15.1875
4.303,87.3164556962025,134.553975678204,11.125
4.37,100.139240506329,133.656314312442,10.275
4.438,96.5569620253165,134.164452759588,10.9375
4.505,100.462025316456,134.154536950421,12.2625
4.572,98.4303797468354,133.809728718428,9.25
4.639,102.158227848101,134.789710009355,10.175
4.706,97.2658227848101,133.969130028064,12.1125
4.773,107.981012658228,135.740318054256,10.85
4.84,109.310126582278,134.152104770814,10.3625
4.908,101.898734177215,133.105144995323,11.475
4.975,107.424050632911,134.080261927035,10.2625
5.042,104.487341772152,133.497661365762,10.05
5.109,111.164556962025,134.618521983162,11.3125
5.176,107.177215189873,134.45088868101,11.775
5.243,115.575949367089,134.48306828812,13.225
5.31,114.354430379747,135.208793264733,11.55
5.378,118.981012658228,134.078765201123,9.825
5.445,117.696202531646,133.468288119738,12.5625
5.512,116.012658227848,134.521047708138,10.5375
5.579,113.386075949367,134.648643592142,12.1375
5.646,112.96835443038,133.39251637044,10.8125
5.713,116.348101265823,133.566697848456,10.725
5.78,117.20253164557,134.207296538821,9.425
5.848,109.841772151899,133.94911131899,10.525
5.915,117.246835443038,135.16220767072,9.5875
5.982,111.670886075949,134.008419083255,10.2625
6.049,114.069620253165,133.442843779233,11.5375
6.121,121.626582278481,134.66604303087,10.35
6.188,116.246835443038,134.017399438728,9.6
6.255,124.696202531646,134.344621141253,12.575
6.324,125.341772151899,135.371375116932,9.5
6.391,117.360759493671,133.480823199252,9.675
6.458,123.607594936709,134.990458372311,9.275
6.527,123.53164556962,134.309635173059,11.7
6.594,126.867088607595,133.491300280636,8.4375
6.661,125.936708860759,134.123854069224,10.775
6.731,117.158227848101,133.719738072965,10.375
6.798,123.715189873418,133.754911131899,10.725
6.865,124.189873417722,135.075958840037,12.1625
6.936,121.76582278481,134.957530402245,10.65
7.003,124.917721518987,134.443966323667,9.55
7.07,126.886075949367,134.444714686623,10.975
7.138,120.639240506329,134.712441534144,13.2625
7.205,120.246835443038,133.317305893358,10.35
7.272,121.772151898734,134.013657623948,13.525
7.345,126.063291139241,133.502338634238,11.475
7.412,131.658227848101,135.162394761459,11.1875
7.48,123.936708860759,133.988774555659,9.6625
7.548,124.835443037975,134.628063610851,10.75
7.615,124.310126582278,134.436108512629,11.0125
7.683,125.170886075949,134.329653882133,11.65
7.75,129.291139240506,134.324228250702,9.65
7.818,127.107594936709,134.259494855005,10.75
7.888,132.120253164557,134.23966323667,10.45
7.955,136.405063291139,134.583348924228,10.7125
8.022,121.632911392405,134.150046772685,9.175
8.093,130.132911392405,134.217960710945,11.625
8.16,133.5,134.570626753976,11.0125
8.227,125.278481012658,133.333208606174,9.75
8.294,125.778481012658,134.570065481759,10.625
8.361,131.284810126582,133.991580916745,10.175
8.428,128.601265822785,134.711506080449,9.65
8.501,128.354430379747,133.305144995323,10.0875
8.568,133.930379746835,133.440411599626,11.8375
8.636,126.651898734177,133.986342376052,11.2625
8.703,134.601265822785,134.342376052385,11
8.77,125.651898734177,133.225631431244,11.4625
8.84,129.544303797468,134.297287184284,9.225
8.908,130.063291139241,133.695977549111,11.4
8.975,130.569620253165,132.621141253508,14.5875
9.045,129.96835443038,134.024134705332,11.925
9.112,130.405063291139,133.295042095416,11.325
9.179,129.962025316456,135.353040224509,13.3875
9.246,129.835443037975,134.40935453695,11.5875
9.313,132.284810126582,133.39064546305,9.225
9.38,127.753164556962,132.743124415341,10.075
9.451,128.721518987342,134.091300280636,11.725
9.518,135.949367088608,133.792329279701,11.775
9.585,130.993670886076,133.150420954163,9.7875
9.653,131.474683544304,132.901028999065,10.5375
9.72,127.107594936709,132.405799812909,12.1
9.793,130.449367088608,133.334705332086,10.4875
9.86,136.829113924051,134.876520112254,12.2
9.928,123.582278481013,134.013844714687,9.9375
9.996,130.70253164557,133.738072965388,11.9375
10.063,128.46835443038,133.07539756782,12.525
10.13,129.424050632911,132.681571562208,9.2625
10.199,126.329113924051,132.972497661366,11.0625
10.266,130.126582278481,133.296913002806,10.6375
10.333,133.221518987342,134.193264733396,9.45
10.403,132.335443037975,133.737511693171,10.5625
10.47,128.803797468354,133.4868101029,8.9375
10.538,132.905063291139,133.173058933583,13.8875
10.608,131.607594936709,133.800374181478,9.3125
10.675,129.753164556962,133.079139382601,10.35
10.743,126.221518987342,133.541253507951,9.625
10.81,134.082278481013,134.397380729654,10.3
10.877,136.753164556962,132.000935453695,9.2875
10.944,137.537974683544,132.665294667914,12.55
11.017,135.392405063291,133.013096351731,9.975
11.084,127.145569620253,133.131524789523,10.85
11.152,133.26582278481,133.444714686623,10.5875
11.219,126.613924050633,131.628063610851,9.7
11.286,125.746835443038,133.18877455566,10.65
11.356,133.303797468354,133.109073900842,9.975
11.423,126.930379746835,132.974929840973,10.8375
11.49,132.651898734177,132.479139382601,10.8
11.56,128.588607594937,131.993077642657,12.775
11.628,128.803797468354,133.08868101029,10.025
11.695,129.588607594937,133.385219831618,11.9375
11.762,130.886075949367,132.874275023386,11.2625
11.829,128.594936708861,133.832366697848,11.8625
11.896,131.082278481013,132.220018709074,10.275
11.968,131.981012658228,131.83012160898,11.8625
12.035,135.215189873418,133.600187090739,11.1625
12.102,126.582278481013,132.550046772685,10.2375
12.169,128.917721518987,133.174555659495,10.0875
12.236,135.987341772152,133.142937324602,11.875
12.308,130.53164556962,132.694855004677,10.3375
12.375,135.284810126582,133.044340505145,9.525
12.443,126.436708860759,132.057249766137,10.9875
12.512,125.360759493671,132.132273152479,9.8625
12.579,130.677215189873,131.9472404116,8.8875
12.646,137.449367088608,132.780916744621,10.5125
12.715,133.544303797468,133.360710944808,10.5625
12.783,131.708860759494,131.791206735267,13.025
12.85,131.949367088608,132.104957904584,8.6
12.92,129.29746835443,132.950233863424,10.7
12.988,130.556962025316,132.056127221703,11.2
13.055,128.626582278481,133.594948550047,10.6875
13.122,133.835443037975,132.018147801684,10.1125
13.189,131.569620253165,132.375304022451,10.1
13.256,135.240506329114,133.358091674462,10.0625
13.328,125.759493670886,132.671468662301,10.6
13.395,134.949367088608,132.1659494855,11.2375
13.465,124.96835443038,132.068101028999,10.675
13.532,133.386075949367,133.58858746492,10.1
13.599,124.177215189873,131.031244153414,9.875
13.668,133.088607594937,133.132834424696,10.25
13.735,130.386075949367,132.018147801684,11.125
13.802,130.272151898734,132.502899906455,10.675
13.871,134.462025316456,132.990832553789,10.75
13.938,129.73417721519,133.070159027128,9.0625
14.005,132.626582278481,132.287371375117,11.75
14.075,132.044303797468,133.13395696913,9.55
14.142,135,132.623199251637,9.85
14.209,130.164556962025,131.778484565014,9.9625
14.279,133.569620253165,132.996632366698,10.9875
14.346,137.575949367089,133.007296538821,11.2375
14.413,134.651898734177,132.276707202993,9.0125
14.48,136.037974683544,131.355472404116,10.3625
14.548,135.424050632911,132.58297474275,9.175
14.621,132.575949367089,132.023386342376,11.475
14.688,132.810126582278,132.146117867166,11.3125
14.755,130.354430379747,132.002993451824,10.0375
14.824,131.310126582278,130.475958840037,8.4875
14.891,133.79746835443,132.246024321796,9.6125
14.958,131.23417721519,132.208793264733,8.6375
15.028,127.987341772152,132.597380729654,10.6
15.095,131.835443037975,132.463049579046,10.475
15.162,130.050632911392,131.528531337699,11.4375
15.231,130.73417721519,132.144621141254,9.3
15.298,129.322784810127,132.239476145931,13.3
15.365,130.044303797468,131.310570626754,10.4625
15.436,129.873417721519,132.189522918616,8.3625
15.503,127.284810126582,131.891487371375,9.1875
15.57,134.696202531646,131.082132834425,9.45
15.638,133.506329113924,132.228437792329,9.625
15.705,132.26582278481,131.563517305893,10.7875
15.772,132.683544303797,131.235360149673,8.7875
15.845,129.525316455696,131.36987839102,7.2125
15.912,135.139240506329,131.553975678204,10.125
15.98,135.835443037975,130.820392890552,8.5
16.048,135.620253164557,131.257623947615,11.425
16.115,132.645569620253,130.96033676333,10.6875
16.183,124.341772151899,131.178484565014,10.8625
16.25,136.803797468354,131.239476145931,13.25
16.318,133.405063291139,131.518054256314,10.4125
16.387,132.5,130.634985968195,9.9625
16.454,130.392405063291,131.123105706268,10.3
16.521,129.588607594937,131.59438727783,8.8125
16.592,132.556962025316,131.164265668849,9.4625
16.659,132.936708860759,131.833115060804,10.0375
16.726,132.322784810127,131.392142188962,11.9125
16.793,136.278481012658,131.214967259121,11.8875
16.86,135.886075949367,130.152478952292,8.3
16.928,128.20253164557,131.784097287184,10.0125
17,130.962025316456,131.773433115061,9.2
17.068,121.550632911392,131.237605238541,10.7
17.137,132.772151898734,131.275210477081,12.1625
17.204,132.936708860759,131.222825070159,8.925
17.271,132.246835443038,130.729279700655,8.575
17.34,125.639240506329,130.960898035547,9.775
17.407,136.120253164557,130.713751169317,8.7125
17.474,133.208860759494,131.783348924228,9.475
17.544,138.886075949367,131.365762394761,8.5625
17.611,130.639240506329,131.514312441534,11.85
17.678,129.772151898734,130.046024321796,8.5375
17.749,129.784810126582,131.787839101964,10.3375
17.816,129.753164556962,131.240037418148,8.2375
17.883,129.23417721519,130.856127221703,8.5
17.95,130.23417721519,131.005238540692,9.275
18.018,132.620253164557,130.247333956969,10.025
18.085,133.506329113924,130.864733395697,8.4625
18.156,127.917721518987,130.95285313377,9.2375
18.223,130.151898734177,130.332273152479,9.825
18.293,140.284810126582,130.895977549111,8.775
18.36,128.930379746835,131.478016838167,10.975
18.428,135.107594936709,131.131711880262,10.5125
18.496,129.753164556962,131.283442469598,13.8125
18.563,130.354430379747,130.253133769878,8.7625
18.63,130.487341772152,129.446772684752,10.65
18.699,133.689873417722,130.075023386342,10.4625
18.766,133.050632911392,130.283442469598,9.2
18.833,133.107594936709,129.63779232928,8.3
18.903,126.715189873418,131.219083255379,8.5625
18.97,127.905063291139,130.227689429373,9.9625
19.037,131.284810126582,130.291487371375,9.3625
19.108,130.424050632911,130.046024321796,9.275
19.175,134.708860759494,130.95472404116,8.875
19.242,133.620253164557,130.106080449018,10.0125
19.309,133.303797468354,130.946866230122,10
19.376,130.392405063291,130.597193638915,8.6125
19.443,124.53164556962,130.355098222638,10.2
19.516,129.639240506329,130.840598690365,9.5
19.583,131.303797468354,129.72834424696,8.575
19.653,133.360759493671,130.03012160898,9.575
19.72,127.981012658228,129.312254443405,10.15
19.787,134.677215189873,130.469410664172,7.6625
19.855,131.462025316456,129.372123479888,9.975
19.923,131.512658227848,129.395322731525,9.8625
19.99,127.177215189873,129.519176800748,8.075
20.06,134.936708860759,130.910009354537,8.3
20.127,129.588607594937,129.875210477081,9.3125
20.194,130.417721518987,129.60561272217,10.6625
20.265,132.177215189873,130.179420018709,10.0625
20.332,132.284810126582,130.127782974743,9.525
20.399,132.012658227848,128.61141253508,9.35
20.466,132.506329113924,129.96407857811,8.125
