Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,196.929292929293,190.767006802721,20.1283422459893
0.067,183.191919191919,187.743367346939,19.7860962566845
0.134,186.535353535354,185.324149659864,19.9251336898396
0.206,184.454545454545,182.497278911565,17.5935828877005
0.273,184.232323232323,181.242006802721,19.903743315508
0.342,179.474747474747,179.318197278912,19.5080213903743
0.409,183.939393939394,177.120408163265,18.7647058823529
0.476,181.282828282828,177.193707482993,19.3155080213904
0.545,177.777777777778,174.612414965986,18.9465240641711
0.612,174.747474747475,173.986054421769,17.903743315508
0.679,172.828282828283,173.566156462585,20.5668449197861
0.748,178.393939393939,173.495238095238,17.807486631016
0.815,172.020202020202,172.315816326531,17.7914438502674
0.882,178.676767676768,172.737585034014,20.1604278074866
0.953,172.40404040404,171.813605442177,18.2406417112299
1.02,170.535353535354,171.769897959184,19.1497326203209
1.087,175.666666666667,171.278911564626,21.3262032085562
1.155,176.343434343434,171.610204081633,20.0053475935829
1.222,174.010101010101,172.754591836735,18.8823529411765
1.289,180.929292929293,171.401360544218,17.5454545454545
1.362,173.010101010101,170.943027210884,18.4171122994652
1.429,172.474747474747,169.073299319728,19.4331550802139
1.498,168.484848484848,170.895578231293,19.1122994652406
1.565,166.121212121212,170.648129251701,18.4385026737968
1.632,175.474747474747,171.200680272109,18.7914438502674
1.701,172.333333333333,169.372448979592,19.4919786096257
1.768,171.818181818182,170.618537414966,20.620320855615
1.835,169.484848484848,170.673469387755,18.4973262032086
1.905,168.959595959596,170.677721088435,16.2032085561497
1.972,169.69696969697,169.374149659864,18.8235294117647
2.04,169.10101010101,168.668197278912,18.855614973262
2.11,173.434343434343,169.913095238095,18.6417112299465
2.177,170.818181818182,170.522108843537,17.2192513368984
2.245,161.69696969697,170.005102040816,20.2139037433155
2.312,175.959595959596,169.961734693878,18.4117647058824
2.379,172.313131313131,169.488945578231,18.7005347593583
2.446,170.040404040404,170.249319727891,20.7433155080214
2.517,165.555555555556,169.627891156463,19.3262032085562
2.585,165.343434343434,170.599149659864,19.0267379679144
2.655,166.525252525253,170.345238095238,16.6149732620321
2.722,173.424242424242,170.548299319728,18.2299465240642
2.789,171.10101010101,169.324829931973,17.0802139037433
2.857,175.777777777778,170.283333333333,18.9625668449198
2.925,170.121212121212,169.235544217687,18.4973262032086
2.992,176.656565656566,171.608843537415,17.2994652406417
3.062,176.848484848485,170.889285714286,18.5294117647059
3.129,174.393939393939,169.765306122449,17.9839572192513
3.196,173.171717171717,169.958503401361,17.2459893048128
3.266,166.484848484848,169.075510204082,18.4491978609626
3.333,173.373737373737,170.105272108844,20.5347593582888
3.427,,,
3.494,,,
3.572,41.8080808080808,152.276700680272,20.4652406417112
3.639,51.030303030303,155.089285714286,18.7700534759358
3.706,64.5252525252525,155.706292517007,19.6577540106952
