Channel 1
Axis [s],ROI1 [],ROI2 [],ROI3 []
0,193.607843137255,184.952188552189,18.6759259259259
0.067,190.598039215686,181.925701459035,19.7037037037037
0.138,188.441176470588,179.297194163861,16.8703703703704
0.205,179.460784313725,176.630527497194,19.3981481481481
0.272,178,174.121436588103,19.2407407407407
0.341,172.127450980392,173.515824915825,18.25
0.408,168.313725490196,171.705723905724,17.1481481481481
0.475,174.725490196078,169.545230078563,19.4351851851852
0.545,181.156862745098,170.037485970819,15.5462962962963
0.612,174.186274509804,168.83367003367,16.7407407407407
0.679,173.558823529412,167.956902356902,15.4722222222222
0.75,174.539215686275,167.347699214366,18.5
0.817,177.098039215686,167.789001122334,16.1851851851852
0.885,170.950980392157,167.102581369248,15.9722222222222
0.952,174.205882352941,166.816161616162,16.4166666666667
1.019,167.490196078431,166.422222222222,14.4814814814815
1.086,166.78431372549,165.852525252525,16.8981481481481
1.157,172.833333333333,166.634343434343,15.5185185185185
1.225,175.872549019608,164.966105499439,16.7962962962963
1.294,165.627450980392,165.083501683502,15.3148148148148
1.361,180.009803921569,165.107744107744,15.4537037037037
1.428,165.362745098039,165.019304152637,16.5555555555556
1.497,175.911764705882,165.300561167228,17.7314814814815
1.564,175.28431372549,165.433445566779,15.7407407407407
1.631,179.509803921569,164.534455667789,17.5833333333333
1.7,184.147058823529,165.569696969697,16.4259259259259
1.767,181.245098039216,166.800897867565,18.2037037037037
1.835,177.460784313725,164.687766554433,18.0555555555556
1.905,164.490196078431,165.92480359147,17.4537037037037
1.972,166.970588235294,164.085297418631,17.1851851851852
2.039,174.558823529412,165.60785634119,16.2962962962963
2.11,172.196078431373,164.779124579125,18.7777777777778
2.177,169.333333333333,164.691582491582,18.2037037037037
2.244,176.009803921569,164.805611672278,17.5
2.311,172.705882352941,164.729741863075,17.6666666666667
2.378,178.764705882353,165.189001122334,16.4166666666667
2.45,163.147058823529,165.099887766554,20.9907407407407
2.517,171.539215686275,165.809203142536,14.6296296296296
2.585,165.578431372549,163.892929292929,16.8796296296296
2.653,172.872549019608,164.687991021324,16.9074074074074
2.72,176.509803921569,164.622895622896,17.8425925925926
2.787,172.343137254902,164.03569023569,16.6203703703704
2.857,173.725490196078,165.569248035915,19.7037037037037
2.925,166.019607843137,164.473625140292,16.5185185185185
